TotalCount,Hosp_ID,Hosp_Name,Special_Type,Special_Name,Regist_Fee,EM_Regist_Fee,Fee_Remark,Address,Tel_Area,Tel_Num,Stars,Comments
1,1101150011,新光醫療財團法人新光吳火獅紀念醫院,1,醫學中心,180,330,自108年12月2日(一)起，夜間及週六門診掛號費調為200元，急診掛號費調為330元。,臺北市士林區文昌路95號及士商路51號1至7樓53、55號,2,28332211,2.9,815
2,1101020018,國泰醫療財團法人國泰綜合醫院,1,醫學中心,150,250,\N,臺北市大安區仁愛路4段280號，266巷6號,2,27082121,4.2,1630
3,1101100011,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,1,醫學中心,130,300,門診初診、夜診、周六及例假日150元/ 複診130元。,臺北市中山區中山北路2段92號,2,25433535,3.2,1412
4,1101100020,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,1,醫學中心,130,300,門診初診、夜診、周六及例假日150元/ 複診130元。,臺北市中山區中山北路2段92號,2,25433535,3.2,1412
5,401180014,國立臺灣大學醫學院附設醫院,1,醫學中心,100,250,\N,臺北市中正區中山南路7、8號；常德街1號,2,23123456,4,1125
6,401180023,國立臺灣大學醫學院附設醫院兒童醫院,1,醫學中心,100,250,\N,臺北市中正區中山南路8號,2,23123456,4.2,384
7,501110514,三軍總醫院附設民眾診療服務處,1,醫學中心,100,200,急診24小時正常服務。,臺北市內湖區成功路2段325號,2,87923311,3.2,276
8,1301200010,臺北市立萬芳醫院－委託財團法人臺北醫學大學辦理,1,醫學中心,100,200,1090201起調整門急診掛號費,臺北市文山區興隆路3段111號,2,29307930,3,969
9,601160016,臺北榮民總醫院,1,醫學中心,100,200,急診全年無休,臺北市北投區石牌路2段201號,2,28712121,3.9,1685
10,1101010012,長庚醫療財團法人台北長庚紀念醫院,1,醫學中心,100,300,夜間及假日門診(含週六.日及國定假日)150元；低收入戶免收掛號費。,臺北市松山區敦化北路199號,2,27135211,3.4,555
11,101090517,臺北市立聯合醫院,2,區域醫院,50,80,\N,臺北市大同區鄭州路145號（代表）,2,25553000,3.4,5
12,1101160026,醫療財團法人辜公亮基金會和信治癌中心醫院,2,區域醫院,150,300,\N,臺北市北投區立德路125號,2,28970011,4,281
13,1101160017,振興醫療財團法人振興醫院,2,區域醫院,180,300,門診掛號費：自109年10月2日起調整為180元,臺北市北投區振興街45號,2,28264400,3.9,1100
14,501160014,三軍總醫院北投分院附設民眾診療服務處,2,區域醫院,50,200,\N,臺北市北投區新民路60號　中和街250號,2,28959808,3.2,5
15,1101010021,基督復臨安息日會醫療財團法人臺安醫院,2,區域醫院,150,300,\N,臺北市松山區八德路2段424、426號,2,27718151,4.2,40
16,501010019,三軍總醫院松山分院附設民眾診療服務處,2,區域醫院,50,60,\N,臺北市松山區健康路131號,2,27642151,3.2,276
17,1301170017,臺北醫學大學附設醫院,2,區域醫院,180,300,\N,臺北市信義區吳興街252號、250號,2,27372181,2.6,216
18,901020013,中山醫療社團法人中山醫院,3,地區醫院,300,450,24小時急診,臺北市大安區仁愛路4段112巷11號,2,27081166,3.8,248
19,1101020036,宏恩醫療財團法人宏恩綜合醫院,3,地區醫院,270,370,\N,臺北市大安區仁愛路4段71巷1號及4段61號、91巷16號,2,27713161,3.5,397
20,1501021219,秀傳醫院,3,地區醫院,200,\N,\N,臺北市大安區光復南路116巷1、3、5號1至4樓及地下1樓,2,27717172,4.3,91
21,1101020027,中心診所醫療財團法人中心綜合醫院,3,地區醫院,300,390,門診部分負擔80  急診部分負擔150,臺北市大安區忠孝東路4段77號,2,27510221,5,6
22,401020013,國立臺灣大學醫學院附設醫院癌醫中心分院,3,地區醫院,100,250,\N,臺北市大安區基隆路3段155巷57號,2,23220322,4.4,179
23,1501101141,泰安醫院,3,地區醫院,150,\N,"70歲以上免收,69歲-65歲50元",臺北市中山區民權東路2段92巷2－1號（地下1樓至地上6樓）,2,25251111,4.4,108
24,1501100037,協和婦女醫院,3,地區醫院,200,350,\N,臺北市中山區松江路85巷5號93巷6號93巷6號2樓,2,25072222,4.2,174
25,901180023,郵政醫院（委託中英醫療社團法人經營）,3,地區醫院,150,\N,\N,臺北市中正區福州街14號,2,23956755,3.4,223
26,1701110019,德威國際牙醫口腔醫院,3,地區醫院,50,\N,\N,臺北市內湖區內湖路1段659號1樓,2,27990123,4.8,359
27,1301110511,中國醫藥大學附設醫院臺北分院,3,地區醫院,120,\N,例假日正常開診(詳門診表及院內公告)，本院無急診服務。,臺北市內湖區內湖路2段360號,2,27919696,3.1,161
28,1101110026,康寧醫療財團法人康寧醫院,3,地區醫院,150,300,\N,臺北市內湖區成功路5段420巷26號,2,26345500,3,259
29,1501201020,景美醫院,3,地區醫院,150,150,門診(日診)150元、門診(夜診)100元、急診150元,臺北市文山區羅斯福路6段280號及文山區育英街18巷2號1樓,2,29331010,4,283
30,701160518,臺北市立關渡醫院-委託臺北榮民總醫院經營,3,地區醫院,80,150,109年7/1起門診掛號費調整為80元，急診掛號費調整為150元!,臺北市北投區知行路225巷12號,2,28587000,3.7,195
31,1501010029,培靈醫院,3,地區醫院,120,\N,\N,臺北市松山區八德路4段355號,2,27606116,4.4,14
32,1501010010,博仁綜合醫院,3,地區醫院,150,300,門初:150門複150,臺北市松山區光復北路66、68號,2,25786677,3.7,887
33,1401190039,同仁院醫療財團法人萬華醫院,3,地區醫院,100,\N,中醫科150元,臺北市萬華區中華路2段606巷6號,2,23059292,4.1,136
34,901190010,西園醫療社團法人西園醫院,3,地區醫院,180,250,\N,臺北市萬華區西園路2段266～274號、185、187號,2,23076968,3.2,267
35,401190010,國立臺灣大學醫學院附設醫院北護分院,3,地區醫院,100,\N,\N,臺北市萬華區康定路37號、臺北市萬華區內江街87號,2,23717101,3.9,162
36,1401190011,財團法人台灣省私立台北仁濟院附設仁濟醫院,3,地區醫院,50,150,65歲以上老人.領有身心障礙手冊.福保.榮民及15歲以下兒童 免掛號費,臺北市萬華區廣州街200、243號,2,23021133,4,50
37,3801112026,建榮中醫診所,4,診所,150,\N,\N,台北市內湖區成功路3段174巷16號,2,27918895,5,87
38,3701157587,品耀牙醫診所,4,診所,100,\N,\N,臺北市士林區士東路125號2樓,2,28748866,4.3,43
39,3501152006,陳彥銘耳鼻喉科診所,4,診所,150,150,\N,臺北市士林區士東路12號－1，1樓,2,28381770,3.5,34
40,3701150784,千賀牙醫診所,4,診所,100,\N,上午09:30~12:00 下午3:00~6:00 晚上7:00~09:30,臺北市士林區士東路14號,2,28335018,4.7,15
41,3801152539,士林錦禾中醫診所,4,診所,100,\N,\N,臺北市士林區士東路16號（實際使用：1樓）、18號2樓,2,88665128,5,13
42,3701156875,京東牙醫診所,4,診所,150,\N,\N,臺北市士林區士東路200巷70號,2,28349541,4.2,5
43,3701151530,吳越夫牙醫診所,4,診所,100,\N,低收、殘障50元,臺北市士林區士東路266巷5弄17－1號,2,28352056,5,2
44,3801151818,易和中醫診所,4,診所,100,\N,\N,臺北市士林區士東路45號1樓,2,28766030,4.7,56
45,3801150393,寬安中醫診所,4,診所,100,\N,\N,臺北市士林區士東路50號,2,28369117,5,9
46,3701151503,福元牙醫診所,4,診所,50,\N,\N,臺北市士林區士東路65號,2,28733620,3,2
47,3501151965,政吉內科診所,4,診所,150,\N,\N,臺北市士林區士東路67號,2,28748318,3.6,21
48,3801150339,栢宏中醫診所,4,診所,150,\N,\N,臺北市士林區士商路78號,2,28806708,4.6,27
49,3501150548,蘇家庭醫學科診所,4,診所,100,\N,\N,臺北市士林區大北路20號,2,28825236,4,6
50,3501150744,惠周內兒科診所,4,診所,150,\N,\N,臺北市士林區大北路96號1樓,2,28812962,4.2,5
51,3701157176,芳川牙醫診所,4,診所,100,\N,\N,臺北市士林區大西路19號,2,28812214,4.9,8
52,3701150720,昭亮牙醫診所,4,診所,100,\N,\N,臺北市士林區大西路25號,2,28821573,4.7,6
53,3701157710,永慶牙醫診所,4,診所,150,\N,\N,臺北市士林區大東路127號（實際使用：1樓）,2,28817289,4.6,207
54,3501154493,鴻林診所,4,診所,150,\N,\N,臺北市士林區大東路128號,2,28820437,4.4,30
55,3501153030,立安復健科診所,4,診所,50,\N,\N,臺北市士林區大東路130號,2,88611590,3.2,15
56,3701157167,楊恭熙牙醫診所,4,診所,50,\N,春節2/11~2/16休假,臺北市士林區大東路137號1樓,2,28838549,4.7,12
57,3501150413,柯耳鼻喉科診所,4,診所,150,\N,\N,臺北市士林區大東路144號,2,28828825,4.7,83
58,3801150348,新長庚中醫診所,4,診所,100,\N,\N,臺北市士林區大東路176號,2,28837876,4.2,30
59,3501153129,保安眼科診所,4,診所,50,\N,\N,臺北市士林區大東路44號,2,28832868,4.8,252
60,3501151438,德福診所,4,診所,150,150,\N,臺北市士林區大東路77號,2,28811982,3.6,14
61,3701157729,太仁牙醫診所,4,診所,100,\N,\N,臺北市士林區大南路223號,2,28882323,1,1
62,3501151161,蘇慧卿診所,4,診所,\N,\N,\N,臺北市士林區大南路274號,2,28829955,3.6,62
63,3801152486,承德中醫診所,4,診所,150,\N,\N,臺北市士林區大南路277號,2,28823866,4.6,44
64,3501154546,橙光耳鼻喉科診所,4,診所,150,\N,\N,臺北市士林區大南路286號,2,28883222,4.9,125
65,3701151647,茂林牙醫診所,4,診所,100,\N,低收、殘障50元,臺北市士林區小北街1－3號,2,28831958,3.7,12
66,3801150491,常甡中醫診所,4,診所,150,\N,\N,臺北市士林區小北街15號,2,28810689,3.6,31
67,3701151549,東成牙醫診所,4,診所,50,\N,\N,臺北市士林區小北街23號1－2樓,2,28828322,4.3,49
68,3701157596,晶亮牙醫診所,4,診所,\N,\N,\N,臺北市士林區小北街5號及5之1號,2,28827680,4.4,105
69,3801151836,漢醫堂中醫診所,4,診所,150,\N,\N,臺北市士林區小北街7號,2,28827798,5,87
70,3701157470,悅庭牙醫診所,4,診所,150,\N,\N,臺北市士林區中山北路5段472號6樓,2,28810525,4.6,1052
71,3701150177,親親牙醫診所,4,診所,100,100,榮民及福保掛號費50元,臺北市士林區中山北路5段622號2樓,2,28357730,4.7,41
72,3501151778,福林診所,4,診所,\N,\N,\N,臺北市士林區中山北路5段685號4樓,2,28314146,\N,0
73,3701151610,育生牙醫診所,4,診所,50,\N,\N,臺北市士林區中山北路5段699巷2－1號1樓,2,28313677,3.8,42
74,3501154617,朝陽復健科診所,4,診所,100,\N,\N,臺北市士林區中山北路5段699巷2號,2,28311736,5,12
75,3701156777,聯有牙醫診所,4,診所,150,\N,\N,臺北市士林區中山北路6段148號2樓、150號2樓,2,88665848,4.4,7
76,3701157603,慕樂牙醫診所,4,診所,150,\N,\N,臺北市士林區中山北路6段152號2樓 之1,2,28387820,4.8,88
77,3801151952,天方中醫診所,4,診所,100,\N,\N,臺北市士林區中山北路6段157巷14號1樓,2,28363363,\N,0
78,3701150042,賴牙醫診所,4,診所,100,\N,本診所未看兒童、矯正、植牙,臺北市士林區中山北路6段161號2樓－3,2,28345872,4.7,41
79,3501154608,心福內科診所,4,診所,150,\N,\N,臺北市士林區中山北路6段167號（實際使用：1、2樓）,2,28331115,4.3,49
80,3701150097,嘉民牙醫診所,4,診所,50,\N,\N,臺北市士林區中山北路6段168號2樓,2,28315661,3.9,26
81,3501153370,台美診所,4,診所,150,150,65歲以上掛號費100,臺北市士林區中山北路6段192號,2,28369595,3.7,6
82,3801152600,泰昌堂中醫診所,4,診所,150,\N,\N,臺北市士林區中山北路6段208號（實際使用：2樓）,2,28386508,4.8,36
83,3701157201,賓大牙醫診所,4,診所,150,\N,\N,臺北市士林區中山北路6段214號,2,28342255,4.3,18
84,3501153138,鄭福山婦產科診所,4,診所,150,\N,\N,臺北市士林區中山北路6段256號,2,28385428,3.9,148
85,3501151643,梁如蘭眼科診所,4,診所,150,\N,\N,臺北市士林區中山北路6段266號1樓,2,28338539,4,190
86,3701157676,天悅牙醫診所,4,診所,150,\N,\N,臺北市士林區中山北路6段268號,2,28338800,4.8,30
87,3501153665,張虔熙小兒科診所,4,診所,150,\N,\N,臺北市士林區中山北路6段282號,2,28361368,3.7,53
88,3501153825,天晴診所,4,診所,150,\N,\N,臺北市士林區中山北路6段292號、292號2樓,2,28355329,3.7,34
89,3501151689,楊是韻皮膚科診所,4,診所,150,\N,\N,臺北市士林區中山北路6段298號1樓,2,28335608,3.5,44
90,3801151612,士東中醫診所,4,診所,150,\N,\N,臺北市士林區中山北路6段300號1樓,2,28352376,4.7,19
91,3501150708,吳如壽診所,4,診所,150,\N,\N,臺北市士林區中山北路6段322號（實際使用1樓）,2,28347118,3.4,5
92,3701156722,吳方棟牙醫診所,4,診所,200,\N,\N,臺北市士林區中山北路6段405巷55號,2,28762020,3.1,29
93,3501153870,永安診所,4,診所,200,\N,另加收部分負擔50元,臺北市士林區中山北路6段405巷63號及63之1號,2,28735068,3.2,60
94,3701151192,永信牙醫診所,4,診所,100,\N,\N,臺北市士林區中山北路6段421號2樓,2,28747234,4.7,41
95,3701150364,士東牙醫診所,4,診所,100,\N,\N,臺北市士林區中山北路6段433號1樓,2,28715423,3.5,6
96,3501151652,吳俊昇眼科診所,4,診所,150,\N,\N,臺北市士林區中山北路6段434號1樓,2,28734987,3.6,76
97,3701150239,宏誠牙醫診所,4,診所,100,\N,\N,臺北市士林區中山北路6段450巷7弄1號1樓,2,28739533,4.4,9
98,3501151358,林佳宏小兒科診所,4,診所,150,\N,\N,臺北市士林區中山北路6段462號,2,28744591,4.8,27
99,3701151709,傅家義牙醫診所,4,診所,150,\N,\N,臺北市士林區中山北路6段470號2樓,2,28755119,3.6,11
100,3701157130,天泉牙醫診所,4,診所,100,\N,隔周六休息，請先來電詢問。,臺北市士林區中山北路6段726號3樓,2,28738711,3.8,14
101,3501150977,天母耳鼻喉科診所,4,診所,150,\N,\N,臺北市士林區中山北路6段744號,2,28748874,4.1,65
102,3701157649,晶綻牙醫診所,4,診所,100,\N,\N,臺北市士林區中山北路6段764號（實際使用：1樓）,2,28730323,4.5,53
103,3501154199,凱硯診所,4,診所,\N,\N,"本院所僅提供血液透析服務,不提供門診看診,謝謝!",臺北市士林區中山北路7段110號3、4樓110之1號3、4樓,2,28762828,4.9,45
104,3501151312,羅氏皮膚科診所,4,診所,150,\N,\N,臺北市士林區中山北路7段14巷2號2樓,2,28743222,4,47
105,3701150775,立安牙醫診所,4,診所,100,\N,掛號費100元，部分負擔50元共計150元,臺北市士林區中山北路7段165－3號,2,28711611,4.4,180
106,3501151376,高醫師家庭醫學科診所,4,診所,150,\N,\N,臺北市士林區中山北路7段17號2樓,2,28744545,3.6,31
107,3801151827,慶昇中醫診所,4,診所,\N,\N,\N,臺北市士林區中山北路7段190巷1號1樓,2,28772346,4.1,34
108,3701156688,天母牙醫診所,4,診所,50,\N,\N,臺北市士林區中山北路7段29號4樓,2,28713865,4.6,196
